,正位,逆位
Fehu,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Fehu」的【正位】喔～\n\n【符文能量解讀】\nFehu 象徵著 財富、繁榮、機會的開端，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Fehu」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n今天是啟動豐盛能量的好時機，試著對資源表達感謝。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Fehu」的【逆位】喔～\n\n【符文能量解讀】\nFehu 象徵著 失控的欲望、貪婪、匱乏意識，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Fehu」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n當你越執著擁有，反而越容易失去。放手，才有空間進來。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Uruz,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Uruz」的【正位】喔～\n\n【符文能量解讀】\nUruz 象徵著 力量、健康、新生的勇氣，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Uruz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n請相信自己的力量，當你挺起胸膛，整個世界都會為你讓路。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Uruz」的【逆位】喔～\n\n【符文能量解讀】\nUruz 象徵著 機會錯失、精力耗盡，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Uruz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n休息也是一種成長，允許自己慢下來，才能重新出發。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Thurisaz,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Thurisaz」的【正位】喔～\n\n【符文能量解讀】\nThurisaz 象徵著 保護、挑戰、重大決定前的覺察，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Thurisaz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n放下衝動，用智慧穿越風暴，你比想像中更穩定。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Thurisaz」的【逆位】喔～\n\n【符文能量解讀】\nThurisaz 象徵著 阻礙、攻擊、過度防衛，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Thurisaz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n試著問自己：你是在守護，還是在逃避？ 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Ansuz,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Ansuz」的【正位】喔～\n\n【符文能量解讀】\nAnsuz 象徵著 智慧、啟示、溝通與靈感，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Ansuz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n你的話語充滿力量，今天適合表達、寫作或與宇宙對話。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Ansuz」的【逆位】喔～\n\n【符文能量解讀】\nAnsuz 象徵著 誤解、謊言、信息干擾，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Ansuz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n沉默有時是最清晰的答案，傾聽比說話更重要。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Raido,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Raido」的【正位】喔～\n\n【符文能量解讀】\nRaido 象徵著 旅行、內在旅程、正確的道路，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Raido」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n踏出第一步，一切就在流動中轉變。信任過程。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Raido」的【逆位】喔～\n\n【符文能量解讀】\nRaido 象徵著 迷失方向、過度控制，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Raido」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n路可能彎曲，但心不可以迷失。回到你的中心。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Kenaz,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Kenaz」的【正位】喔～\n\n【符文能量解讀】\nKenaz 象徵著 創造力、洞察力、點燃內在之火，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Kenaz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n今天適合開始新計畫或學習，靈感正準備降臨。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Kenaz」的【逆位】喔～\n\n【符文能量解讀】\nKenaz 象徵著 封閉、創意枯竭、情緒壓抑，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Kenaz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n暫時熄燈沒關係，重拾熱情前，先照顧內在的陰影。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Gebo,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Gebo」的【正位】喔～\n\n【符文能量解讀】\nGebo 象徵著 平衡的交換、愛與關係，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Gebo」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n送出愛，也允許自己接收。關係是雙向能量流動。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Gebo」的【逆位】喔～\n\n【符文能量解讀】\nGebo 象徵著 失衡的付出、依賴、情感勒索，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Gebo」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n真正的愛不是交換，而是互相成就。重新校準你的關係模式。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Wunjo,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Wunjo」的【正位】喔～\n\n【符文能量解讀】\nWunjo 象徵著 喜悅、和諧、達成目標，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Wunjo」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n你值得享受當下的幸福，別忘了慶祝每一小步的成功。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Wunjo」的【逆位】喔～\n\n【符文能量解讀】\nWunjo 象徵著 內在焦慮、幻滅、與快樂失聯，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Wunjo」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n試著問問自己：你在追求什麼？是否遺忘了真正的快樂來源？ 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Hagalaz,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Hagalaz」的【正位】喔～\n\n【符文能量解讀】\nHagalaz 象徵著 突變、風暴、必要的破壞，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Hagalaz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n接受混亂，它將帶來重建的機會。試著看見其中的轉機。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Hagalaz」的【逆位】喔～\n\n【符文能量解讀】\nHagalaz 象徵著 內在風暴、抗拒改變，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Hagalaz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n當你執著不變，宇宙會更大力地推動你前進。學會放下控制。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
Nauthiz,"{'description': '🌟 符語娘說：\n你今天抽到的符文是「Nauthiz」的【正位】喔～\n\n【符文能量解讀】\nNauthiz 象徵著 限制、困境中的學習，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Nauthiz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n眼前的阻礙是一面鏡子，提醒你真正的渴望與成長之路。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}","{'description': '🌟 符語娘說：\n你今天抽到的符文是「Nauthiz」的【逆位】喔～\n\n【符文能量解讀】\nNauthiz 象徵著 壓抑、逃避、自我設限，這是來自宇宙的一種能量暗示，提醒你注意內在的變化與外在的跡象。\n\n【今日感知任務】\n試著留意你今天遇到的每個人或事，是否與「Nauthiz」傳達的訊息有所呼應？你可以試著用文字、畫圖或靜心冥想來與這股能量對話。\n\n【符語暖心提醒】\n不要將責任推給命運，你有能力改寫現狀。 請相信，符文總會在對的時候給你對的引導。', 'image_url': ''}"
